year,Annual Sunshine for  United Kingdom,Annual Sunshine for South-East England
1919,1381.1,1577.9
1920,1229.5,1430.6
1921,1481.9,1820.4
1922,1309.3,1566.2
1923,1273.8,1556.3
1924,1227,1541.7
1925,1368,1638.2
1926,1292.9,1431.9
1927,1246.7,1436.8
1928,1363.8,1731.9
1929,1489.5,1818.9
1930,1290.2,1544.1
1931,1210,1402
1932,1213.8,1390.2
1933,1444.8,1833.9
1934,1365.3,1643.4
1935,1402.2,1604.3
1936,1259.1,1400.1
1937,1214.8,1439.1
1938,1285.9,1543.9
1939,1322.6,1565.4
1940,1381.2,1680.2
1941,1238.3,1474.6
1942,1314.4,1537.6
1943,1392.2,1698.8
1944,1229.8,1552
1945,1295.8,1545
1946,1307.8,1528.4
1947,1350.2,1642.5
1948,1386.9,1708.9
1949,1527.7,1916.9
1950,1358.3,1605.6
1951,1360,1579
1952,1369.5,1664.4
1953,1345.9,1610.9
1954,1207.7,1423
1955,1548.5,1676.6
1956,1330,1509.6
1957,1358,1595.8
1958,1212.7,1360.3
1959,1531.3,1879.4
1960,1336.9,1470
1961,1325,1628.4
1962,1338.5,1560.1
1963,1301.3,1434.7
1964,1271.5,1530.5
1965,1258.9,1475.8
1966,1230.5,1416
1967,1353.9,1638.3
1968,1247.6,1362.2
1969,1332.5,1539.7
1970,1353.2,1604.4
1971,1356.9,1601
1972,1271.4,1460.5
1973,1367.4,1637.1
1974,1339.5,1564.2
1975,1479.5,1656.9
1976,1427.1,1790.4
1977,1364.9,1481.7
1978,1222.7,1448.2
1979,1286.6,1513.1
1980,1256,1535.1
1981,1240,1338.3
1982,1337.1,1574.6
1983,1261.5,1560.7
1984,1398,1603.8
1985,1269,1572.9
1986,1354.2,1579
1987,1242.3,1463.4
1988,1317.6,1540.2
1989,1555.9,1860.4
1990,1481.5,1893.1
1991,1293.9,1498.7
1992,1283,1472.4
1993,1211,1481.7
1994,1358.8,1630.2
1995,1579.5,1864.4
1996,1389.7,1689.6
1997,1420,1763.1
1998,1258,1567.1
1999,1406.7,1741.8
2000,1358.2,1525.9
2001,1406.7,1665.8
2002,1297.2,1574.5
2003,1586.3,1879
2004,1355.5,1599.2
2005,1381.9,1679.9
2006,1472.3,1716.7
2007,1436.1,1737.9
2008,1375.2,1639.5
2009,1465.7,1735.6
2010,1444.5,1627.6
2011,1398,1668.5
2012,1332.1,1589.3
2013,1410.9,1588.9
2014,1416.5,1786.1
2015,1445,1653.6
2016,1417.4,1663.6
2017,1369.3,1653.5
2018,1560.1,1853.6
2019,1454.4,1731
2020,1498.9,1830.4
2021,1387.8,1493.8
