Year,Annual Precipitation  for United Kingdom,Annual Precipitation  for South-East England
1836,1124.8,892.5
1837,909.1,622.4
1838,937.2,679.7
1839,1064.6,876.2
1840,889.3,602.1
1841,1121.2,959
1842,925.2,663.7
1843,1008,729.6
1844,828.8,652.5
1845,1024.1,665.3
1846,1059.4,763.3
1847,962.2,565.1
1848,1181.2,972
1849,986.9,700
1850,949.1,648.1
1851,904.2,610.2
1852,1253,1087.9
1853,941.3,794.2
1854,902.1,539.3
1855,786.5,649.2
1856,932.3,730.6
1857,916.4,685.4
1858,876.6,536.8
1859,1041.9,819
1860,1105.5,932.7
1861,1056.2,655
1862,1097.5,758.2
1863,1085.2,671.9
1864,908.4,547.5
1865,972.6,876.5
1866,1172.5,888
1867,1022.6,737
1868,1144.7,786.8
1869,1066.3,762
1870,853.8,582.7
1871,979.8,700.7
1872,1439.1,1015.9
1873,997.6,676.9
1874,1048.4,673.9
1875,1093.3,848.6
1876,1148.3,843.9
1877,1324.4,935.8
1878,1040.2,790.8
1879,1018.7,877.4
1880,1035.1,839.1
1881,1045.5,771.7
1882,1249.5,868.3
1883,1120.6,732.8
1884,1019.2,615.8
1885,1013.9,745
1886,1095,821
1887,806.5,589.1
1888,994.2,753.1
1889,931.5,669.6
1890,1012.1,646.6
1891,1109.8,870.7
1892,978.4,661.1
1893,941.1,620.6
1894,1102.7,886.8
1895,961.2,680.6
1896,988.7,706.3
1897,1037.1,726.3
1898,1021.6,591.1
1899,1018.3,671.2
1900,1150.6,744
1901,927.3,613.8
1902,882.3,615.6
1903,1345.9,1019.3
1904,963.8,683.1
1905,931.4,656.1
1906,1070.4,757.5
1907,1042.6,713.1
1908,977.4,657.2
1909,1035.4,820.8
1910,1128.1,858.5
1911,1010.7,744.8
1912,1218.5,918.1
1913,1010.9,757.5
1914,1101.5,866
1915,1049.1,975.7
1916,1178.6,915.7
1917,1021.3,769.2
1918,1112.2,784
1919,1015.5,787.8
1920,1127.9,732.9
1921,891.9,411.5
1922,1031.7,782.4
1923,1203.5,809.3
1924,1162.6,961.8
1925,1057.2,858.6
1926,1083.5,773
1927,1198.9,999.5
1928,1240.3,840.1
1929,1048.6,747
1930,1167.6,805.1
1931,1106.2,719.3
1932,1086.5,744.3
1933,831.3,603.2
1934,1062.8,721.5
1935,1134,936.2
1936,1054.3,803.6
1937,1001.8,922
1938,1178.4,653.5
1939,1083.9,897.5
1940,1029.7,768.2
1941,935.8,742.3
1942,1020.2,726.8
1943,1066.8,665.9
1944,1077.3,677.6
1945,998.5,650.2
1946,1148.1,910.3
1947,974.9,634.3
1948,1193.4,776
1949,1031.4,648.9
1950,1188.2,825.8
1951,1185.6,1046.7
1952,1000,775.4
1953,937.8,618.4
1954,1295.3,858.5
1955,881.7,681.4
1956,1031,705.1
1957,1089.8,732.9
1958,1118.7,902
1959,987.4,712.2
1960,1200.9,1060.9
1961,1082,739.5
1962,1030.9,681.6
1963,1000.9,768.6
1964,918.6,640.4
1965,1138.8,812.8
1966,1187.8,906.3
1967,1204.2,857.6
1968,1071.9,864.2
1969,1002.4,717.3
1970,1120.5,779.3
1971,935.3,707.5
1972,986.4,704.9
1973,928.8,561.5
1974,1180.7,967.4
1975,921.4,714.2
1976,974.1,669.1
1977,1103.5,817.3
1978,1062.2,715.5
1979,1171.5,838.4
1980,1155.2,759.3
1981,1181.7,826.3
1982,1199.1,830.8
1983,1085,697.6
1984,1090.1,810.5
1985,1102.2,732.4
1986,1213.4,829.1
1987,1060.8,778.2
1988,1160.9,714.9
1989,1045.1,677.9
1990,1203.7,658.5
1991,1024.7,678.1
1992,1217.4,803.8
1993,1149.7,854
1994,1216.5,877.5
1995,1050.3,748.4
1996,935.2,616
1997,1048.7,724.7
1998,1298.4,867.1
1999,1271.8,837.8
2000,1372.5,1109.1
2001,1049.3,861.6
2002,1280.3,1008.4
2003,900.1,639.7
2004,1208.9,757.1
2005,1079.7,610.6
2006,1173.2,788.1
2007,1195.7,844.4
2008,1293.2,852
2009,1208.1,822.5
2010,945.4,689.3
2011,1162.6,630.5
2012,1329.6,1005.4
2013,1084,805.7
2014,1292.8,1039.5
2015,1265.3,737.2
2016,1096.5,729.8
2017,1118.4,726
2018,1053.5,758.8
2019,1232.2,858.7
2020,1333.8,900.2
2021,1104.2,805.9
